epoch,train_loss,train_acc,val_acc,time,seed
0,1.4296875,0.716796875,0.6491000056266785,0.49543992900848394,0
1,1.279296875,0.8046875,0.6607999801635742,0.9038844480514527,0
2,1.23046875,0.8154296875,0.7418000102043152,1.3110869321823122,0
3,1.1806640625,0.8515625,0.7906000018119812,1.6867867612838747,0
4,1.1513671875,0.8564453125,0.8399999737739563,2.063929888725281,0
5,1.1083984375,0.8759765625,0.8416999578475952,2.4399839963912964,0
6,1.1025390625,0.890625,0.8154000043869019,2.8156288022994995,0
7,1.0556640625,0.9130859375,0.8877999782562256,3.1921629209518434,0
8,1.0126953125,0.9423828125,0.8650999665260315,3.5704214658737183,0
9,0.98486328125,0.953125,0.923799991607666,3.9461260862350462,0
10,0.95703125,0.96875,0.9266999959945679,4.32394731426239,0
0,1.4345703125,0.6982421875,0.6721000075340271,0.499570228099823,1
1,1.26171875,0.8115234375,0.7105000019073486,0.9091460032463075,1
2,1.2001953125,0.84375,0.7586999535560608,1.3196252207756043,1
3,1.1826171875,0.84765625,0.802299976348877,1.6984324412345888,1
4,1.16015625,0.853515625,0.7538999915122986,2.0750489878654483,1
5,1.1376953125,0.861328125,0.8501999974250793,2.4538154368400575,1
6,1.10546875,0.8837890625,0.871399998664856,2.8312099375724795,1
7,1.0830078125,0.8984375,0.8678999543190002,3.2088210520744327,1
8,1.0146484375,0.939453125,0.8664999604225159,3.586342628002167,1
9,1.01171875,0.9423828125,0.9235999584197998,3.963896399974823,1
10,0.951171875,0.9716796875,0.9271999597549438,4.340250251293183,1
0,1.455078125,0.6953125,0.6449999809265137,0.454706146478653,2
1,1.275390625,0.7978515625,0.7638999819755554,0.8649803774356842,2
2,1.2041015625,0.8408203125,0.8086000084877014,1.2751339113712312,2
3,1.1630859375,0.857421875,0.8222999572753906,1.6537099001407625,2
4,1.1279296875,0.8720703125,0.8222000002861023,2.031879669427872,2
5,1.1162109375,0.8828125,0.854699969291687,2.4109867861270904,2
6,1.0849609375,0.8955078125,0.8626999855041504,2.788338745355606,2
7,1.0732421875,0.8974609375,0.8484999537467957,3.1668840944767,2
8,1.009765625,0.9443359375,0.8886999487876892,3.544530121088028,2
9,1.0068359375,0.9384765625,0.9248999953269958,3.925122925043106,2
10,0.95654296875,0.9716796875,0.9254999756813049,4.303643127679825,2
0,1.43359375,0.69921875,0.6431999802589417,0.41621947312355045,3
1,1.3525390625,0.736328125,0.7321000099182129,0.8274678251743317,3
2,1.2236328125,0.8291015625,0.6850999593734741,1.238873678445816,3
3,1.1552734375,0.85546875,0.7996000051498413,1.6196428434848786,3
4,1.1279296875,0.8837890625,0.8237999677658081,1.999214224100113,3
5,1.107421875,0.8896484375,0.812999963760376,2.3774361174106597,3
6,1.072265625,0.8984375,0.8534999489784241,2.7589365751743316,3
7,1.0634765625,0.9111328125,0.8845999836921692,3.138481100320816,3
8,1.0244140625,0.9384765625,0.9065999984741211,3.518198904275894,3
9,1.0029296875,0.9423828125,0.91839998960495,3.8970707914829252,3
10,0.970703125,0.962890625,0.9243999719619751,4.276478628396988,3
0,1.4541015625,0.685546875,0.6341999769210815,0.5007387344837189,4
1,1.2626953125,0.798828125,0.7475999593734741,0.9142876541614533,4
2,1.181640625,0.8447265625,0.7882999777793884,1.3277820999622345,4
3,1.1611328125,0.8525390625,0.7657999992370605,1.7071880753040314,4
4,1.1572265625,0.873046875,0.8303999900817871,2.08714382481575,4
5,1.1005859375,0.8896484375,0.8333999514579773,2.4689081070423127,4
6,1.095703125,0.89453125,0.8598999977111816,2.8481464188098906,4
7,1.046875,0.9248046875,0.8676999807357788,3.227937281847,4
8,1.0341796875,0.923828125,0.8968999981880188,3.606873591661453,4
9,1.005859375,0.94140625,0.9238999485969543,3.9871716263294217,4
10,0.94580078125,0.978515625,0.9246000051498413,4.367131892442703,4
0,1.4453125,0.6923828125,0.616599977016449,0.5006668779850006,5
1,1.24609375,0.814453125,0.7466999888420105,0.9124659197330476,5
2,1.23828125,0.8076171875,0.6865999698638916,1.3276465532779695,5
3,1.1875,0.8408203125,0.7771999835968018,1.707988472223282,5
4,1.142578125,0.8681640625,0.8500999808311462,2.0886262896060948,5
5,1.111328125,0.8837890625,0.7757999897003174,2.4689196245670324,5
6,1.0849609375,0.904296875,0.8310999870300293,2.848940071344376,5
7,1.056640625,0.9140625,0.8560000061988831,3.230590706110001,5
8,1.0087890625,0.9443359375,0.9085999727249146,3.6109650957584387,5
9,0.9990234375,0.9501953125,0.926099956035614,3.9926644976139074,5
10,0.96240234375,0.9609375,0.9268999695777893,4.372938087701798,5
0,1.4052734375,0.7265625,0.7170999646186829,0.5006218183040619,6
1,1.234375,0.8330078125,0.7858999967575073,0.9144136579036712,6
2,1.181640625,0.8544921875,0.8107999563217163,1.3294363629817962,6
3,1.1669921875,0.859375,0.7752000093460083,1.7100685651302339,6
4,1.1474609375,0.85546875,0.8114999532699585,2.091769096136093,6
5,1.123046875,0.8916015625,0.814300000667572,2.4736229779720307,6
6,1.0751953125,0.896484375,0.8736000061035156,2.8548482892513274,6
7,1.08203125,0.8994140625,0.8639000058174133,3.23776003241539,6
8,1.013671875,0.9384765625,0.8941999673843384,3.618842490911484,6
9,1.0009765625,0.9453125,0.9225999712944031,4.000552390813827,6
10,0.95849609375,0.9697265625,0.9282999634742737,4.381918967962265,6
0,1.447265625,0.708984375,0.5992000102996826,0.5053970429897309,7
1,1.2548828125,0.8095703125,0.743399977684021,0.9189565827846528,7
2,1.2197265625,0.8359375,0.7755999565124512,1.3360749604701996,7
3,1.15234375,0.8662109375,0.7701999545097351,1.7172536714076996,7
4,1.134765625,0.884765625,0.7809999585151672,2.101570657491684,7
