epoch,train_loss,train_acc,val_acc,time,seed
0,1.400390625,0.7373046875,0.6464999914169312,0.500603271484375,0
1,1.2822265625,0.791015625,0.7330999970436096,0.9062229309082032,0
2,1.2001953125,0.8330078125,0.791700005531311,1.316691192626953,0
3,1.1416015625,0.8662109375,0.840399980545044,1.689593017578125,0
4,1.12109375,0.8818359375,0.861799955368042,2.0666387634277346,0
5,1.1396484375,0.8603515625,0.7536999583244324,2.4438815917968753,0
6,1.0546875,0.9150390625,0.8542999625205994,2.819099792480469,0
7,1.0537109375,0.91015625,0.8434000015258789,3.1974661560058593,0
8,1.0205078125,0.9326171875,0.8962000012397766,3.5724325866699216,0
9,0.99072265625,0.94921875,0.9208999872207642,3.9492744445800776,0
10,0.96337890625,0.9697265625,0.9240999817848206,4.329496032714843,0
0,1.45703125,0.7001953125,0.6864999532699585,0.49862653589248657,1
1,1.2587890625,0.8212890625,0.689799964427948,0.9067145485877991,1
2,1.23046875,0.8212890625,0.7421999573707581,1.3146475930213928,1
3,1.138671875,0.8759765625,0.8366000056266785,1.691561716556549,1
4,1.1728515625,0.8525390625,0.8287999629974365,2.066365854740143,1
5,1.1044921875,0.892578125,0.8538999557495117,2.4433195900917055,1
6,1.0810546875,0.8828125,0.8280999660491943,2.8195643715858463,1
7,1.06640625,0.9111328125,0.8616999983787537,3.1974938759803777,1
8,1.0341796875,0.927734375,0.9025999903678894,3.5737039589881903,1
9,1.0078125,0.939453125,0.9222999811172485,3.950943186283112,1
10,0.96337890625,0.9609375,0.9271999597549438,4.329322519779206,1
0,1.421875,0.697265625,0.6083999872207642,0.4141851968765259,2
1,1.2470703125,0.81640625,0.7721999883651733,0.8253486795425415,2
2,1.2265625,0.83203125,0.7774999737739563,1.2358387918472291,2
3,1.16015625,0.85546875,0.842199981212616,1.6130312967300418,2
4,1.1318359375,0.8662109375,0.8402000069618225,1.9898718729019167,2
5,1.1015625,0.8818359375,0.8626999855041504,2.368046006202698,2
6,1.0625,0.916015625,0.8604999780654907,2.7468278665542605,2
7,1.0751953125,0.900390625,0.882099986076355,3.1256278848648074,2
8,1.0205078125,0.9189453125,0.8985999822616577,3.5022873086929325,2
9,1.0166015625,0.9306640625,0.9161999821662903,3.880557267189026,2
0,1.42578125,0.712890625,0.7109000086784363,0.5031709246635437,3
1,1.255859375,0.814453125,0.7524999976158142,0.912988612651825,3
2,1.244140625,0.8115234375,0.7548999786376953,1.3206775469779968,3
3,1.1259765625,0.8857421875,0.8168999552726746,1.6985194354057311,3
4,1.1484375,0.861328125,0.8179999589920044,2.075197139263153,3
5,1.0947265625,0.8984375,0.8306999802589417,2.4531260638237002,3
6,1.0712890625,0.9072265625,0.8667999505996704,2.8313011736869815,3
7,1.0712890625,0.9033203125,0.8513999581336975,3.209694056987763,3
8,1.0185546875,0.94140625,0.8996999859809875,3.5896163287162786,3
9,0.99560546875,0.9443359375,0.9215999841690063,3.9683851580619818,3
10,0.96240234375,0.9638671875,0.9281999468803406,4.346244624614716,3
0,1.474609375,0.69140625,0.6499999761581421,0.5001085591316223,4
1,1.267578125,0.798828125,0.7573999762535095,0.9087922139167786,4
2,1.171875,0.83984375,0.765500009059906,1.3205036396980285,4
3,1.169921875,0.8583984375,0.7667999863624573,1.6981850056648253,4
4,1.1640625,0.8525390625,0.8359999656677246,2.0768344807624817,4
5,1.1171875,0.873046875,0.8191999793052673,2.455693764209747,4
6,1.0732421875,0.9052734375,0.8679999709129333,2.8329428791999813,4
7,1.0439453125,0.919921875,0.8889999985694885,3.212219002246856,4
8,1.0068359375,0.9404296875,0.8780999779701233,3.5912317585945126,4
9,0.99755859375,0.94921875,0.9244999885559082,3.9722445759773253,4
10,0.95947265625,0.9658203125,0.9200999736785889,4.351273262500762,4
0,1.505859375,0.66015625,0.6200000047683716,0.5002045059204102,5
1,1.2646484375,0.8017578125,0.7477999925613403,0.9100058670043947,5
2,1.2412109375,0.806640625,0.7781999707221985,1.3250511856079104,5
3,1.1640625,0.859375,0.7860999703407288,1.7035531692504886,5
4,1.1640625,0.857421875,0.8385999798774719,2.083808174133301,5
5,1.0791015625,0.912109375,0.8549000024795532,2.4639508438110354,5
6,1.0712890625,0.900390625,0.8611999750137329,2.8427585525512695,5
7,1.064453125,0.9091796875,0.8852999806404114,3.223087959289551,5
8,1.021484375,0.9326171875,0.8889999985694885,3.602528907775879,5
9,0.9990234375,0.9482421875,0.921999990940094,3.984553688049316,5
10,0.95458984375,0.9736328125,0.9264999628067017,4.363907447814941,5
0,1.443359375,0.712890625,0.6615999937057495,0.49904068565368653,6
1,1.2265625,0.845703125,0.7911999821662903,0.9102476253509522,6
2,1.2587890625,0.8046875,0.6783999800682068,1.3243104305267335,6
3,1.1455078125,0.8740234375,0.8287999629974365,1.7027325801849367,6
4,1.134765625,0.8779296875,0.8482999801635742,2.0830852413177494,6
5,1.1298828125,0.87109375,0.8567999601364136,2.4628045406341554,6
6,1.0927734375,0.8798828125,0.8502999544143677,2.843195135116577,6
7,1.0615234375,0.90234375,0.8773999810218811,3.2257780208587645,6
8,1.033203125,0.9248046875,0.8894999623298645,3.6055846004486085,6
9,0.99462890625,0.951171875,0.9279999732971191,3.988434606552124,6
10,0.958984375,0.9638671875,0.9296000003814697,4.367954320907593,6
0,1.4287109375,0.703125,0.6987999677658081,0.4152461609840393,7
1,1.2998046875,0.7666015625,0.5995999574661255,0.8267969727516175,7
2,1.2041015625,0.83203125,0.7886999845504761,1.2408904480934142,7
3,1.1953125,0.8408203125,0.767799973487854,1.6212169861793517,7
4,1.1630859375,0.85546875,0.8423999547958374,2.00197629404068,7
5,1.09375,0.888671875,0.8219999670982361,2.3831319642066955,7
6,1.05859375,0.9072265625,0.8679999709129333,2.7637297120094297,7
7,1.048828125,0.916015625,0.8810999989509583,3.145680670261383,7
8,1.04296875,0.9228515625,0.8942999839782715,3.527628210544586,7
9,0.98974609375,0.9541015625,0.9235000014305115,3.909298315525055,7
10,0.95458984375,0.9658203125,0.9238999485969543,4.290744146823883,7
0,1.455078125,0.6787109375,0.6854999661445618,0.5009317960739136,8
1,1.2177734375,0.837890625,0.7800999879837036,0.9134764432907105,8
2,1.2021484375,0.8310546875,0.7728999853134155,1.3285388212203981,8
3,1.1708984375,0.857421875,0.8149999976158142,1.7085802640914918,8
4,1.173828125,0.85546875,0.7962999939918518,2.089816866874695,8
5,1.1103515625,0.8837890625,0.8152999877929688,2.471551913261414,8
6,1.0859375,0.8994140625,0.8714999556541443,2.8535986356735235,8
7,1.0361328125,0.9384765625,0.8764999508857727,3.2353042325973513,8
8,1.0234375,0.9267578125,0.9010999798774719,3.6171539335250857,8
9,1.0029296875,0.9443359375,0.9162999987602234,3.9995595731735234,8
10,0.95458984375,0.9716796875,0.9287999868392944,4.38117550945282,8
0,1.4443359375,0.693359375,0.6640999913215637,0.505302363872528,9
1,1.244140625,0.814453125,0.7013999819755554,0.9178661150932312,9
2,1.21484375,0.822265625,0.7680000066757202,1.3374060015678406,9
3,1.21875,0.818359375,0.8017999529838562,1.7178970293998719,9
4,1.1337890625,0.8798828125,0.8341999650001526,2.1047523760795595,9
5,1.1298828125,0.8701171875,0.8050999641418457,2.4867397418022157,9
6,1.0810546875,0.90625,0.8392999768257141,2.8692186541557314,9
7,1.0419921875,0.923828125,0.880299985408783,3.252314479351044,9
8,1.04296875,0.9248046875,0.9025999903678894,3.634334285259247,9
9,0.98779296875,0.95703125,0.9193999767303467,4.018660518169403,9
10,0.95849609375,0.9599609375,0.9274999499320984,4.400011104106903,9
0,1.466796875,0.6904296875,0.6040999889373779,0.5043662836551667,10
1,1.28515625,0.7841796875,0.7662000060081482,0.9170831110477449,10
2,1.2080078125,0.8388671875,0.8179999589920044,1.3352394526004794,10
3,1.169921875,0.85546875,0.7746999859809875,1.7156374933719638,10
4,1.1357421875,0.875,0.8242999911308289,2.1001716730594637,10
5,1.1181640625,0.8828125,0.8491999506950378,2.4828208429813388,10
6,1.064453125,0.91015625,0.8618999719619751,2.8651540644168856,10
7,1.060546875,0.9111328125,0.886199951171875,3.248255291223526,10
