epoch,train_loss,train_acc,val_acc,time,seed
0,1.408203125,0.724609375,0.6827999949455261,0.41116723108291625,0
1,1.234375,0.8212890625,0.7827999591827393,0.8190162301063537,0
2,1.248046875,0.8076171875,0.6784999966621399,1.2236552987098692,0
3,1.1943359375,0.8330078125,0.7531999945640564,1.600241449832916,0
4,1.16796875,0.8515625,0.7631999850273132,1.9741705574989317,0
5,1.1123046875,0.888671875,0.8567999601364136,2.3514709420204163,0
6,1.0595703125,0.9091796875,0.8621000051498413,2.7286218514442444,0
7,1.052734375,0.921875,0.8657999634742737,3.1040581002235412,0
8,1.0166015625,0.93359375,0.8942999839782715,3.4818718819618226,0
9,1.013671875,0.94140625,0.9226999878883362,3.858956751346588,0
10,0.94189453125,0.9775390625,0.9223999977111816,4.235371637821197,0
0,1.4072265625,0.7265625,0.6929000020027161,0.5018978068828583,1
1,1.287109375,0.794921875,0.7917999625205994,0.9100576274394989,1
2,1.232421875,0.828125,0.7303999662399292,1.3202038066387176,1
3,1.1884765625,0.837890625,0.7842999696731567,1.69518488574028,1
4,1.1669921875,0.8515625,0.814799964427948,2.073623820066452,1
5,1.119140625,0.875,0.7656999826431274,2.4496382853984833,1
6,1.060546875,0.9208984375,0.8610000014305115,2.8269750773906708,1
7,1.0625,0.9072265625,0.8865000009536743,3.2060240581035613,1
8,1.0224609375,0.9404296875,0.8973999619483948,3.5820120036602017,1
9,0.98974609375,0.9501953125,0.9249999523162842,3.9594966228008266,1
10,0.97314453125,0.958984375,0.9253000020980835,4.33626496386528,1
0,1.4677734375,0.6982421875,0.6821999549865723,0.5027594158649445,2
1,1.265625,0.7978515625,0.6974999904632568,0.9120731365680695,2
2,1.2265625,0.81640625,0.814300000667572,1.3198741314411164,2
3,1.171875,0.8525390625,0.8147000074386597,1.695970719575882,2
4,1.1533203125,0.8671875,0.8392999768257141,2.072730485200882,2
5,1.1103515625,0.876953125,0.8226999640464783,2.451175065279007,2
6,1.0517578125,0.9248046875,0.8507999777793884,2.8288446209430695,2
7,1.029296875,0.939453125,0.8772000074386597,3.2060760967731476,2
8,1.02734375,0.9345703125,0.8981999754905701,3.583101090669632,2
9,0.9970703125,0.9384765625,0.9226999878883362,3.9629667217731477,2
10,0.95703125,0.9716796875,0.9238999485969543,4.3426753704547885,2
0,1.4384765625,0.693359375,0.6987000107765198,0.4991397304534912,3
1,1.2490234375,0.8173828125,0.7529999613761902,0.9079193019866943,3
2,1.259765625,0.802734375,0.7037000060081482,1.322463888168335,3
3,1.1806640625,0.8408203125,0.7979999780654907,1.69972633934021,3
4,1.1435546875,0.8642578125,0.7839999794960022,2.0782943630218504,3
5,1.119140625,0.8798828125,0.8509999513626099,2.4582264919281003,3
6,1.09765625,0.8828125,0.8269000053405762,2.8370547084808346,3
7,1.0703125,0.8984375,0.842799961566925,3.2186293239593504,3
8,1.0244140625,0.939453125,0.9020999670028687,3.5970883083343503,3
9,1.015625,0.935546875,0.9205999970436096,3.976723501205444,3
10,0.951171875,0.966796875,0.9239999651908875,4.357536245346069,3
0,1.435546875,0.712890625,0.7005000114440918,0.500003143787384,4
1,1.2705078125,0.8046875,0.7217999696731567,0.9094104008674622,4
2,1.2802734375,0.7822265625,0.4957999885082245,1.3203247380256653,4
3,1.1953125,0.8271484375,0.7793999910354614,1.699486999988556,4
4,1.142578125,0.8623046875,0.8226000070571899,2.076998260974884,4
5,1.1376953125,0.8662109375,0.8402999639511108,2.4568251042366027,4
6,1.0888671875,0.90625,0.8784999847412109,2.835647949695587,4
7,1.0615234375,0.9208984375,0.883899986743927,3.2156839604377745,4
8,1.033203125,0.9326171875,0.8925999999046326,3.5956282658576963,4
9,0.99365234375,0.9482421875,0.9253999590873718,3.978843903064728,4
0,1.45703125,0.701171875,0.6820999979972839,0.4131712076663971,5
1,1.2685546875,0.7978515625,0.7799999713897705,0.8224017374515533,5
2,1.2255859375,0.8251953125,0.7849000096321106,1.2385802347660064,5
3,1.1611328125,0.8564453125,0.7839999794960022,1.6150724222660064,5
4,1.162109375,0.8642578125,0.8282999992370605,1.9967619059085846,5
5,1.1005859375,0.8955078125,0.8556999564170837,2.377177006006241,5
6,1.072265625,0.9033203125,0.8605999946594238,2.760271732568741,5
7,1.0703125,0.904296875,0.8718000054359436,3.14152289223671,5
8,1.037109375,0.9169921875,0.8915999531745911,3.521321262598038,5
9,0.984375,0.955078125,0.9208999872207642,3.9049535562992097,5
10,0.9560546875,0.966796875,0.9271000027656555,4.284749851465225,5
0,1.42578125,0.7177734375,0.6469999551773071,0.49895100235939027,6
1,1.2548828125,0.8203125,0.7615999579429626,0.9093036329746247,6
2,1.2041015625,0.845703125,0.7584999799728394,1.3249800856113434,6
